CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,SHUTDOWN,LATITUDE,LONGITUDE
am,ARMENIA,AM-18,ARMENIAN-1,PWR,1375,408,376,ANPPCJSC,FAEA,07-1969,12-1976,10-1977,02-1989,40.18084444,44.14890833
be,BELGIUM,BE-1,BR-3,PWR,41,12,10,CEN/SCK,WH,11-1957,10-1962,10-1962,06-1987,47.51222222,34.58583333
bg,BULGARIA,BG-1,KOZLODUY-1,PWR,1375,440,408,KOZNPP,AEE,04-1970,07-1974,10-1974,12-2020,43.74611111,23.77055556
bg,BULGARIA,BG-2,KOZLODUY-2,PWR,1375,440,408,KOZNPP,AEE,04-1970,08-1975,11-1975,12-2020,43.78333333,23.73333333
bg,BULGARIA,BG-3,KOZLODUY-3,PWR,1375,440,408,KOZNPP,AEE,10-1973,12-1980,01-1981,12-2020,43.74611111,23.77055556
bg,BULGARIA,BG-4,KOZLODUY-4,PWR,1375,440,408,KOZNPP,AEE,10-1973,05-1982,06-1982,12-2020,43.74611111,23.77055556
ca,CANADA,CA-2,DOUGLAS POINT,PHWR,704,218,206,OH,AECL,02-1960,01-1967,09-1968,05-1984,44.32666667,-81.6
ca,CANADA,CA-3,GENTILLY-1,HWLWR,792,266,250,HQ,AECL,09-1966,04-1971,05-1972,06-1977,46.39583333,-72.35694444
ca,CANADA,CA-12,GENTILLY-2,PHWR,2156,675,635,HQ,AECL,04-1974,12-1982,10-1983,12-2020,46.39583333,-72.35694444
ca,CANADA,CA-5,PICKERING-2,PHWR,1744,542,515,OPG,OH/AECL,09-1966,10-1971,12-1971,05-2020,43.8354,-79.089
ca,CANADA,CA-6,PICKERING-3,PHWR,1744,542,515,OPG,OH/AECL,12-1967,05-1972,06-1972,10-2020,43.81166667,-79.06583333
ca,CANADA,CA-1,ROLPHTON NPD,PHWR,92,25,22,OH,CGE,01-1958,06-1962,10-1962,08-1987,46.18666667,-77.65777778
fr,FRANCE,FR-9,BUGEY-1,GCR,1954,555,540,EDF,FRAM,12-1965,04-1972,07-1972,05-1994,45.79833333,5.27083333
fr,FRANCE,FR-2,CHINON A-1,GCR,300,80,70,EDF,LEVIVIER,02-1957,06-1963,02-1964,04-1973,47.1678,0.2436
fr,FRANCE,FR-3,CHINON A-2,GCR,800,230,180,EDF,LEVIVIER,08-1959,02-1965,02-1965,06-1985,47.1678,0.2436
fr,FRANCE,FR-4,CHINON A-3,GCR,1170,480,360,EDF,GTM,03-1961,08-1966,08-1966,06-1990,47.1678,0.2436
fr,FRANCE,FR-5,CHOOZ-A (ARDENNES),PWR,1040,320,305,SENA,A/F/W,01-1962,04-1967,04-1967,10-1991,50.09,4.78944444
fr,FRANCE,FR-6,EL-4 (MONTS D'ARREE),HWGCR,250,75,70,EDF,GAAA,07-1962,07-1967,06-1968,07-1985,48.3533,-3.87220278
fr,FRANCE,FR-1B,G-2 (MARCOULE),GCR,260,43,39,COGEMA,SACM,03-1955,04-1959,04-1959,02-1980,44.14333333,4.70944444
fr,FRANCE,FR-1,G-3 (MARCOULE),GCR,260,43,40,COGEMA,SACM,03-1956,04-1960,04-1960,06-1984,44.14333333,4.70944444
fr,FRANCE,FR-10,PHENIX,FBR,345,142,130,CEA/EDF,CNCLNEY,11-1968,12-1973,07-1974,02-2020,44.14333333,4.71166667
fr,FRANCE,FR-7,ST. LAURENT A-1,GCR,1650,500,390,EDF,FRAM,10-1963,03-1969,06-1969,04-1990,47.72,1.5775
