CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MODEL,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,EAF_PCT,UCF_PCT,NON_ELEC
cn,CHINA,CN-11,TIANWAN-2,PWR,VVER V-428,3000,1060,990,JNPC,IZ,09-2000,05-2020,08-2020,89.5,89.7,-
cn,CHINA,CN-45,TIANWAN-3,PWR,VVER V-428M,3000,1126,1045,JNPC,IZ,12-2020,12-2020,02-2020,85.8,86.2,-
cn,CHINA,CN-46,TIANWAN-4,PWR,VVER V-428M,3000,1126,1045,JNPC,IZ,09-2020,10-2020,12-2020,84.6,84.7,-
cn,CHINA,CN-49,TIANWAN-5,PWR,CNP-1000,2905,1118,1000,JNPC,-,12-2020,08-2020,09-2020,-,-,-
cn,CHINA,CN-22,YANGJIANG-1,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,12-2020,12-2020,03-2020,89.3,89.3,-
cn,CHINA,CN-23,YANGJIANG-2,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,06-2020,03-2020,06-2020,90.3,90.4,-
cn,CHINA,CN-40,YANGJIANG-3,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,11-2020,10-2020,01-2020,92.1,92.4,-
cn,CHINA,CN-41,YANGJIANG-4,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,11-2020,01-2020,03-2020,88.5,88.6,-
cn,CHINA,CN-47,YANGJIANG-5,PWR,ACPR-1000,2905,1086,1000,YJNPC,CFHI,09-2020,05-2020,07-2020,88,88.3,-
cn,CHINA,CN-48,YANGJIANG-6,PWR,ACPR-1000,2905,1086,1000,YJNPC,CFHI,12-2020,06-2020,07-2020,100,100,-
cz,CZECH REP.,CZ-4,DUKOVANY-1,PWR,VVER V-213,1444,500,468,CEZ,SKODA,01-1979,02-1985,05-1985,82.5,83.3,-
cz,CZECH REP.,CZ-5,DUKOVANY-2,PWR,VVER V-213,1444,500,471,CEZ,SKODA,01-1979,01-1986,03-1986,77.3,78.4,-
cz,CZECH REP.,CZ-8,DUKOVANY-3,PWR,VVER V-213,1444,500,468,CEZ,SKODA,03-1979,11-1986,12-1986,79.5,80.6,-
cz,CZECH REP.,CZ-9,DUKOVANY-4,PWR,VVER V-213,1444,500,471,CEZ,SKODA,03-1979,06-1987,07-1987,82.9,83.8,-
cz,CZECH REP.,CZ-23,TEMELIN-1,PWR,VVER V-320,3120,1082,1027,CEZ,SKODA,02-1987,12-2000,06-2020,80.8,81.3,DH
cz,CZECH REP.,CZ-24,TEMELIN-2,PWR,VVER V-320,3120,1082,1027,CEZ,SKODA,02-1987,12-2020,04-2020,78.2,78.3,DH
fi,FINLAND,FI-1,LOVIISA-1,PWR,VVER V-213,1500,531,507,FORTUMPH,AEE,05-1971,02-1977,05-1977,91.2,92.2,-
fi,FINLAND,FI-2,LOVIISA-2,PWR,VVER V-213,1500,531,507,FORTUMPH,AEE,08-1972,11-1980,01-1981,90.9,91.9,-
fi,FINLAND,FI-3,OLKILUOTO-1,BWR,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,02-1974,09-1978,10-1979,93,93.8,-
fi,FINLAND,FI-4,OLKILUOTO-2,BWR,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,11-1975,02-1980,07-1982,91.9,92.7,-
fr,FRANCE,FR-54,BELLEVILLE-1,PWR,P4 REP 1300,3817,1363,1310,EDF,FRAM,05-1980,10-1987,06-1988,78,79.4,-
fr,FRANCE,FR-55,BELLEVILLE-2,PWR,P4 REP 1300,3817,1363,1310,EDF,FRAM,08-1980,07-1988,01-1989,75,76.7,-
fr,FRANCE,FR-32,BLAYAIS-1,PWR,CP1,2785,951,910,EDF,FRAM,01-1977,06-1981,12-1981,78.2,81.4,-
fr,FRANCE,FR-33,BLAYAIS-2,PWR,CP1,2785,951,910,EDF,FRAM,01-1977,07-1982,02-1983,80.6,82.1,-
fr,FRANCE,FR-34,BLAYAIS-3,PWR,CP1,2785,951,910,EDF,FRAM,04-1978,08-1983,11-1983,75.4,76.5,-
fr,FRANCE,FR-35,BLAYAIS-4,PWR,CP1,2785,951,910,EDF,FRAM,04-1978,05-1983,10-1983,77,79.2,-
fr,FRANCE,FR-13,BUGEY-2,PWR,CP0,2785,945,910,EDF,FRAM,11-1972,05-1978,03-1979,75.2,78,-
fr,FRANCE,FR-14,BUGEY-3,PWR,CP0,2785,945,910,EDF,FRAM,09-1973,09-1978,03-1979,70.9,75,-
fr,FRANCE,FR-15,BUGEY-4,PWR,CP0,2785,917,880,EDF,FRAM,06-1974,03-1979,07-1979,80.5,81.6,-
fr,FRANCE,FR-16,BUGEY-5,PWR,CP0,2785,917,880,EDF,FRAM,07-1974,07-1979,01-1980,63.1,64.9,-
fr,FRANCE,FR-50,CATTENOM-1,PWR,P4 REP 1300,3817,1362,1300,EDF,FRAM,10-1979,11-1986,04-1987,73.4,75.1,-
fr,FRANCE,FR-53,CATTENOM-2,PWR,P4 REP 1300,3817,1362,1300,EDF,FRAM,07-1980,09-1987,02-1988,77,79.5,-
fr,FRANCE,FR-60,CATTENOM-3,PWR,P4 REP 1300,3817,1362,1300,EDF,FRAM,06-1982,07-1990,02-1991,77.9,80.2,-
fr,FRANCE,FR-65,CATTENOM-4,PWR,P4 REP 1300,3817,1362,1300,EDF,FRAM,09-1983,05-1991,01-1992,76.4,80.1,-
fr,FRANCE,FR-40,CHINON B-1,PWR,CP2,2785,954,905,EDF,FRAM,03-1977,11-1982,02-1984,73.9,74.7,-
fr,FRANCE,FR-41,CHINON B-2,PWR,CP2,2785,954,905,EDF,FRAM,03-1977,11-1983,08-1984,72.3,75.4,-
fr,FRANCE,FR-56,CHINON B-3,PWR,CP2,2785,954,905,EDF,FRAM,10-1980,10-1986,03-1987,79.4,80.2,-
fr,FRANCE,FR-57,CHINON B-4,PWR,CP2,2785,954,905,EDF,FRAM,02-1981,11-1987,04-1988,79,79.9,-
fr,FRANCE,FR-62,CHOOZ B-1,PWR,N4 REP 1450,4270,1560,1500,EDF,FRAM,01-1984,08-1996,05-2000,80.2,83,-
fr,FRANCE,FR-70,CHOOZ B-2,PWR,N4 REP 1450,4270,1560,1500,EDF,FRAM,12-1985,04-1997,09-2000,76.6,82.2,-
fr,FRANCE,FR-72,CIVAUX-1,PWR,N4 REP 1450,4270,1561,1495,EDF,FRAM,10-1988,12-1997,01-2020,77.5,80.3,-
fr,FRANCE,FR-73,CIVAUX-2,PWR,N4 REP 1450,4270,1561,1495,EDF,FRAM,04-1991,12-1999,04-2020,75.7,81.1,-
fr,FRANCE,FR-42,CRUAS-1,PWR,CP2,2785,956,915,EDF,FRAM,08-1978,04-1983,04-1984,71.7,73.8,-
fr,FRANCE,FR-43,CRUAS-2,PWR,CP2,2785,956,915,EDF,FRAM,11-1978,09-1984,04-1985,75,79,-
fr,FRANCE,FR-44,CRUAS-3,PWR,CP2,2785,956,915,EDF,FRAM,04-1979,05-1984,09-1984,73.1,78.5,-
fr,FRANCE,FR-45,CRUAS-4,PWR,CP2,2785,956,915,EDF,FRAM,10-1979,10-1984,02-1985,70.7,73.4,-
fr,FRANCE,FR-22,DAMPIERRE-1,PWR,CP1,2785,937,890,EDF,FRAM,02-1975,03-1980,09-1980,79,80.3,-
fr,FRANCE,FR-29,DAMPIERRE-2,PWR,CP1,2785,937,890,EDF,FRAM,04-1975,12-1980,02-1981,77.5,79,-
fr,FRANCE,FR-30,DAMPIERRE-3,PWR,CP1,2785,937,890,EDF,FRAM,09-1975,01-1981,05-1981,78.4,80.9,-
fr,FRANCE,FR-31,DAMPIERRE-4,PWR,CP1,2785,937,890,EDF,FRAM,12-1975,08-1981,11-1981,74.7,77.6,-
fr,FRANCE,FR-46,FLAMANVILLE-1,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,12-1979,12-1985,12-1986,69.4,70.8,-
fr,FRANCE,FR-47,FLAMANVILLE-2,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,05-1980,07-1986,03-1987,71.7,74.3,-
fr,FRANCE,FR-61,GOLFECH-1,PWR,P4 REP 1300,3817,1363,1310,EDF,FRAM,11-1982,06-1990,02-1991,83.9,87,-
fr,FRANCE,FR-68,GOLFECH-2,PWR,P4 REP 1300,3817,1363,1310,EDF,FRAM,10-1984,06-1993,03-1994,82.5,83.7,-
fr,FRANCE,FR-20,GRAVELINES-1,PWR,CP1,2785,951,910,EDF,FRAM,02-1975,03-1980,11-1980,69.8,72.3,-
fr,FRANCE,FR-21,GRAVELINES-2,PWR,CP1,2785,951,910,EDF,FRAM,03-1975,08-1980,12-1980,71.1,75.7,-
fr,FRANCE,FR-27,GRAVELINES-3,PWR,CP1,2785,951,910,EDF,FRAM,12-1975,12-1980,06-1981,74,75.2,-
fr,FRANCE,FR-28,GRAVELINES-4,PWR,CP1,2785,951,910,EDF,FRAM,04-1976,06-1981,10-1981,77.6,79.3,-
fr,FRANCE,FR-51,GRAVELINES-5,PWR,CP1,2785,951,910,EDF,FRAM,10-1979,08-1984,01-1985,67,68.4,-
fr,FRANCE,FR-52,GRAVELINES-6,PWR,CP1,2785,951,910,EDF,FRAM,10-1979,08-1985,10-1985,77.4,79.4,-
fr,FRANCE,FR-58,NOGENT-1,PWR,P4 REP 1300,3817,1363,1310,EDF,FRAM,05-1981,10-1987,02-1988,78.4,80.8,-
fr,FRANCE,FR-59,NOGENT-2,PWR,P4 REP 1300,3817,1363,1310,EDF,FRAM,01-1982,12-1988,05-1989,82.8,85,-
fr,FRANCE,FR-36,PALUEL-1,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,08-1977,06-1984,12-1985,76.1,78.3,-
fr,FRANCE,FR-37,PALUEL-2,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,01-1978,09-1984,12-1985,57.1,58.1,-
fr,FRANCE,FR-38,PALUEL-3,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,02-1979,09-1985,02-1986,70.2,74.4,-
fr,FRANCE,FR-39,PALUEL-4,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,02-1980,04-1986,06-1986,74.6,77.3,-
fr,FRANCE,FR-63,PENLY-1,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,09-1982,05-1990,12-1990,81.1,82.2,-
fr,FRANCE,FR-64,PENLY-2,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,08-1984,02-1992,11-1992,80,81.6,-
fr,FRANCE,FR-48,ST. ALBAN-1,PWR,P4 REP 1300,3817,1381,1335,EDF,FRAM,01-1979,08-1985,05-1986,77.8,81.4,-
fr,FRANCE,FR-49,ST. ALBAN-2,PWR,P4 REP 1300,3817,1381,1335,EDF,FRAM,07-1979,07-1986,03-1987,76.8,79.9,-
fr,FRANCE,FR-17,ST. LAURENT B-1,PWR,CP2,2785,956,915,EDF,FRAM,05-1976,01-1981,08-1983,74.8,78.4,-
fr,FRANCE,FR-23,ST. LAURENT B-2,PWR,CP2,2785,956,915,EDF,FRAM,07-1976,06-1981,08-1983,71.2,74,-
fr,FRANCE,FR-18,TRICASTIN-1,PWR,CP1,2785,955,915,EDF,FRAM,11-1974,05-1980,12-1980,69.6,72.5,-
fr,FRANCE,FR-19,TRICASTIN-2,PWR,CP1,2785,955,915,EDF,FRAM,12-1974,08-1980,12-1980,71.9,78,-
fr,FRANCE,FR-25,TRICASTIN-3,PWR,CP1,2785,955,915,EDF,FRAM,04-1975,02-1981,05-1981,72,78.3,-
fr,FRANCE,FR-26,TRICASTIN-4,PWR,CP1,2785,955,915,EDF,FRAM,05-1975,06-1981,11-1981,77.3,79.4,-
de,GERMANY,DE-32,BROKDORF,PWR,PWR,3900,1480,1410,PElectra,KWU,01-1976,10-1986,12-1986,84.2,84.5,-
de,GERMANY,DE-33,EMSLAND,PWR,Konvoi,3850,1406,1335,KLE,KWU,08-1982,04-1988,06-1988,93.6,94.1,-
de,GERMANY,DE-27,GROHNDE,PWR,PWR,3900,1430,1360,PElectra,KWU,06-1976,09-1984,02-1985,85.5,86.7,-
de,GERMANY,DE-28,GUNDREMMINGEN-C,BWR,BWR-72,3840,1344,1288,KGG,KWU,07-1976,11-1984,01-1985,87.7,88.5,-
de,GERMANY,DE-31,ISAR-2,PWR,Konvoi,3950,1485,1410,PElectra,KWU,09-1982,01-1988,04-1988,92.8,93.2,-
de,GERMANY,DE-44,NECKARWESTHEIM-2,PWR,Konvoi,3850,1400,1310,EnKK,KWU,11-1982,01-1989,04-1989,90.2,90.7,-
hu,HUNGARY,HU-1,PAKS-1,PWR,VVER V-213,1485,500,479,PAKS Zrt,AEE,08-1974,12-1982,08-1983,89.1,89.4,-
hu,HUNGARY,HU-2,PAKS-2,PWR,VVER V-213,1485,500,477,PAKS Zrt,AEE,08-1974,09-1984,11-1984,89.8,90.1,DH
hu,HUNGARY,HU-3,PAKS-3,PWR,VVER V-213,1485,500,473,PAKS Zrt,AEE,10-1979,09-1986,12-1986,88.4,88.7,DH
hu,HUNGARY,HU-4,PAKS-4,PWR,VVER V-213,1485,500,473,PAKS Zrt,AEE,10-1979,08-1987,11-1987,89.3,90,DH
in,INDIA,IN-13,KAIGA-1,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,09-1989,10-2000,11-2000,82.1,94,-
in,INDIA,IN-14,KAIGA-2,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,12-1989,12-1999,03-2000,80.6,92.3,-
in,INDIA,IN-15,KAIGA-3,PHWR,Horizontal Pre,800,220,202,NPCIL,NPCIL,03-2020,04-2020,05-2020,79.4,88.4,-
in,INDIA,IN-16,KAIGA-4,PHWR,Horizontal Pre,800,220,202,NPCIL,NPCIL,05-2020,01-2020,01-2020,84.6,91.4,-
in,INDIA,IN-9,KAKRAPAR-1,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,12-1984,11-1992,05-1993,54.8,54.8,-
in,INDIA,IN-10,KAKRAPAR-2,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,04-1985,03-1995,09-1995,58.6,63.1,-
in,INDIA,IN-25,KUDANKULAM-1,PWR,VVER V-412,3000,1000,932,NPCIL,MAEP,03-2020,10-2020,12-2020,52.2,52.2,-
in,INDIA,IN-26,KUDANKULAM-2,PWR,VVER V-412,3000,1000,932,NPCIL,MAEP,07-2020,08-2020,03-2020,46,46,-
in,INDIA,IN-5,MADRAS-1,PHWR,Horizontal Pre,801,220,205,NPCIL,NPCIL,01-1971,07-1983,01-1984,57.5,73.6,DS
in,INDIA,IN-6,MADRAS-2,PHWR,Horizontal Pre,801,220,205,NPCIL,NPCIL,10-1972,09-1985,03-1986,68.5,86.4,DS
in,INDIA,IN-7,NARORA-1,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,12-1976,07-1989,01-1991,75.7,92.2,-
in,INDIA,IN-8,NARORA-2,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,11-1977,01-1992,07-1992,71.2,86.2,-
in,INDIA,IN-3,RAJASTHAN-1,PHWR,Horizontal Pre,346,100,90,NPCIL,AECL,08-1965,11-1972,12-1973,0,0,PH
in,INDIA,IN-4,RAJASTHAN-2,PHWR,Horizontal Pre,693,200,187,NPCIL,AECL/DAE,04-1968,11-1980,04-1981,78.2,81.2,PH
in,INDIA,IN-11,RAJASTHAN-3,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,02-1990,03-2000,06-2000,88.4,91.7,PH
in,INDIA,IN-12,RAJASTHAN-4,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,10-1990,11-2000,12-2000,91,93,PH
in,INDIA,IN-19,RAJASTHAN-5,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,09-2020,12-2020,02-2020,91.6,91.8,-
in,INDIA,IN-20,RAJASTHAN-6,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,01-2020,03-2020,03-2020,79.1,79.3,-
in,INDIA,IN-1,TARAPUR-1,BWR,BWR-1 (Mark 2),530,160,150,NPCIL,GE,10-1964,04-1969,10-1969,69.9,70.4,-
in,INDIA,IN-2,TARAPUR-2,BWR,BWR-1 (Mark 2),530,160,150,NPCIL,GE,10-1964,05-1969,10-1969,74.3,75,-
in,INDIA,IN-23,TARAPUR-3,PHWR,Horizontal Pre,1730,540,490,NPCIL,NPCIL,05-2000,06-2020,08-2020,85.2,89,-
in,INDIA,IN-24,TARAPUR-4,PHWR,Horizontal Pre,1730,540,490,NPCIL,NPCIL,03-2000,06-2020,09-2020,77.7,85.2,-
ir,"IRAN, ISL. REP.",IR-1,BUSHEHR-1,PWR,VVER V-446,3000,1000,915,NPPDCO,JSC ASE,05-1975,09-2020,09-2020,71.8,72.2,-
jp,JAPAN,JP-45,GENKAI-3,PWR,M (4-loop),3423,1180,1127,KYUSHU,MHI,06-1988,06-1993,03-1994,24.5,24.5,DS
jp,JAPAN,JP-46,GENKAI-4,PWR,M (4-loop),3423,1180,1127,KYUSHU,MHI,07-1992,11-1996,07-1997,30.6,30.6,DS
jp,JAPAN,JP-36,HAMAOKA-3,BWR,BWR-5,3293,1100,1056,CHUBU,TOSHIBA,04-1983,01-1987,08-1987,9.1,9.1,-
jp,JAPAN,JP-49,HAMAOKA-4,BWR,BWR-5,3293,1137,1092,CHUBU,TOSHIBA,10-1989,01-1993,09-1993,10.4,10.4,-
jp,JAPAN,JP-60,HAMAOKA-5,BWR,ABWR,3926,1380,1325,CHUBU,TOSHIBA,07-2000,04-2020,01-2020,2.9,4.8,-
jp,JAPAN,JP-58,HIGASHI DORI-1 (TOHOKU),BWR,BWR-5,3293,1100,1067,TOHOKU,TOSHIBA,11-2000,03-2020,12-2020,11,11,-
jp,JAPAN,JP-47,IKATA-3,PWR,M (3-loop),2660,890,846,SHIKOKU,MHI,10-1990,03-1994,12-1994,42.7,42.7,DS
jp,JAPAN,JP-33,KASHIWAZAKI KARIWA-1,BWR,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,06-1980,02-1985,09-1985,11.6,11.6,-
jp,JAPAN,JP-39,KASHIWAZAKI KARIWA-2,BWR,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,11-1985,02-1990,09-1990,0,0,-
jp,JAPAN,JP-52,KASHIWAZAKI KARIWA-3,BWR,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,03-1989,12-1992,08-1993,0,0,-
jp,JAPAN,JP-53,KASHIWAZAKI KARIWA-4,BWR,BWR-5,3293,1100,1067,TEPCO,HITACHI,03-1990,12-1993,08-1994,0,0,-
jp,JAPAN,JP-40,KASHIWAZAKI KARIWA-5,BWR,BWR-5,3293,1100,1067,TEPCO,HITACHI,06-1985,09-1989,04-1990,11.5,11.5,-
jp,JAPAN,JP-55,KASHIWAZAKI KARIWA-6,BWR,ABWR,3926,1356,1315,TEPCO,TOSHIBA,11-1992,01-1996,11-1996,19.6,19.6,-
jp,JAPAN,JP-56,KASHIWAZAKI KARIWA-7,BWR,ABWR,3926,1356,1315,TEPCO,HITACHI,07-1993,12-1996,07-1997,14,14,-
jp,JAPAN,JP-14,MIHAMA-3,PWR,M (3-loop),2440,826,780,KEPCO,MHI,08-1972,02-1976,12-1976,11.4,11.4,-
jp,JAPAN,JP-50,OHI-3,PWR,M (4-loop),3423,1180,1127,KEPCO,MHI,10-1987,06-1991,12-1991,37.6,37.7,DS
jp,JAPAN,JP-51,OHI-4,PWR,M (4-loop),3423,1180,1127,KEPCO,MHI,06-1988,06-1992,02-1993,38.3,38.3,DS
jp,JAPAN,JP-54,ONAGAWA-2,BWR,BWR-5,2436,825,796,TOHOKU,TOSHIBA,04-1991,12-1994,07-1995,8.4,13.1,-
jp,JAPAN,JP-57,ONAGAWA-3,BWR,BWR-5,2436,825,796,TOHOKU,TOSHIBA,01-1998,05-2020,01-2020,9.3,14.2,-
jp,JAPAN,JP-28,SENDAI-1,PWR,M (3-loop),2660,890,846,KYUSHU,MHI,12-1979,09-1983,07-1984,46.1,46.1,-
jp,JAPAN,JP-37,SENDAI-2,PWR,M (3-loop),2660,890,846,KYUSHU,MHI,10-1981,04-1985,11-1985,48.3,48.3,-
jp,JAPAN,JP-48,SHIKA-1,BWR,BWR-5,1593,540,505,HOKURIKU,HITACHI,07-1989,01-1993,07-1993,8.7,8.7,-
jp,JAPAN,JP-59,SHIKA-2,BWR,ABWR,3926,1206,1108,HOKURIKU,HITACHI,08-2020,07-2020,03-2020,10.5,10.5,-
jp,JAPAN,JP-41,SHIMANE-2,BWR,BWR-5,2436,820,789,CHUGOKU,HITACHI,02-1985,07-1988,02-1989,13.5,13.5,-
jp,JAPAN,JP-8,TAKAHAMA-1,PWR,M (3-loop),2440,826,780,KEPCO,WH/MHI,04-1970,03-1974,11-1974,10.2,10.2,-
jp,JAPAN,JP-13,TAKAHAMA-2,PWR,M (3-loop),2440,826,780,KEPCO,MHI,03-1971,01-1975,11-1975,15.8,15.8,-
jp,JAPAN,JP-29,TAKAHAMA-3,PWR,M (3-loop),2660,870,830,KEPCO,MHI,12-1980,05-1984,01-1985,50.7,50.7,DS
jp,JAPAN,JP-30,TAKAHAMA-4,PWR,M (3-loop),2660,870,830,KEPCO,MHI,03-1981,11-1984,06-1985,43.2,43.2,DS
jp,JAPAN,JP-21,TOKAI-2,BWR,BWR-5,3293,1100,1060,JAPCO,GE,10-1973,03-1978,11-1978,7.3,9.2,-
jp,JAPAN,JP-43,TOMARI-1,PWR,M (2-loop),1650,579,550,HEPCO,MHI,04-1985,12-1988,06-1989,11.2,11.2,-
jp,JAPAN,JP-44,TOMARI-2,PWR,M (2-loop),1650,579,550,HEPCO,MHI,06-1985,08-1990,04-1991,14.7,14.7,-
jp,JAPAN,JP-64,TOMARI-3,PWR,M (3-loop),2660,912,866,HEPCO,MHI,11-2020,03-2020,12-2020,21.7,21.7,-
jp,JAPAN,JP-34,TSURUGA-2,PWR,M (4-loop),3411,1160,1108,JAPCO,MHI,11-1982,06-1986,02-1987,9.6,9.6,-
kr,"KOREA, REP. OF",KR-7,HANBIT-1,PWR,WH F,2787,1028,995,KHNP,WH,06-1981,03-1986,08-1986,76.9,77.4,-
kr,"KOREA, REP. OF",KR-8,HANBIT-2,PWR,WH F,2787,1025,988,KHNP,WH,12-1981,11-1986,06-1987,77.1,77.4,-
kr,"KOREA, REP. OF",KR-11,HANBIT-3,PWR,OPR-1000,2825,1037,986,KHNP,DHICKAEC,12-1989,10-1994,03-1995,66.6,66.9,-
kr,"KOREA, REP. OF",KR-12,HANBIT-4,PWR,OPR-1000,2825,1022,970,KHNP,DHICKAEC,05-1990,07-1995,01-1996,64.5,64.9,-
kr,"KOREA, REP. OF",KR-17,HANBIT-5,PWR,OPR-1000,2825,1049,992,KHNP,DHICKOPC,06-1997,12-2020,05-2020,87.4,87.7,-
kr,"KOREA, REP. OF",KR-18,HANBIT-6,PWR,OPR-1000,2825,1051,993,KHNP,DHICKOPC,11-1997,09-2020,12-2020,84.1,84.4,-
kr,"KOREA, REP. OF",KR-9,HANUL-1,PWR,France CPI,2775,1008,966,KHNP,FRAM,01-1983,04-1988,09-1988,83.7,83.9,-
kr,"KOREA, REP. OF",KR-10,HANUL-2,PWR,France CPI,2775,1010,967,KHNP,FRAM,07-1983,04-1989,09-1989,85.3,85.5,-
kr,"KOREA, REP. OF",KR-13,HANUL-3,PWR,OPR-1000,2825,1049,997,KHNP,DHICKOPC,07-1993,01-1998,08-1998,78.7,78.9,-
kr,"KOREA, REP. OF",KR-14,HANUL-4,PWR,OPR-1000,2825,1053,999,KHNP,DHICKOPC,11-1993,12-1998,12-1999,70.6,70.7,-
kr,"KOREA, REP. OF",KR-19,HANUL-5,PWR,OPR-1000,2825,1048,998,KHNP,DHICKOPC,10-1999,12-2020,07-2020,86.8,87.1,-
kr,"KOREA, REP. OF",KR-20,HANUL-6,PWR,OPR-1000,2825,1048,997,KHNP,DHICKOPC,09-2000,01-2020,04-2020,87.3,87.5,-
kr,"KOREA, REP. OF",KR-2,KORI-2,PWR,WH F,1882,681,640,KHNP,WH,12-1977,04-1983,07-1983,83.6,84.6,-
kr,"KOREA, REP. OF",KR-5,KORI-3,PWR,WH F,2912,1045,1011,KHNP,WH,10-1979,01-1985,09-1985,76.8,76.9,-
kr,"KOREA, REP. OF",KR-6,KORI-4,PWR,WH F,2912,1045,1012,KHNP,WH,04-1980,12-1985,04-1986,77.7,77.8,-
kr,"KOREA, REP. OF",KR-21,SHIN-KORI-1,PWR,OPR-1000,2825,1046,996,KHNP,DHICKOPC,06-2020,08-2020,02-2020,71.9,72.2,-
kr,"KOREA, REP. OF",KR-22,SHIN-KORI-2,PWR,OPR-1000,2825,1047,996,KHNP,DHICKOPC,06-2020,01-2020,07-2020,80.3,80.6,-
kr,"KOREA, REP. OF",KR-25,SHIN-KORI-3,PWR,APR-1400,3983,1486,1416,KHNP,DHICKOPC,10-2020,01-2020,12-2020,78.8,79,-
kr,"KOREA, REP. OF",KR-26,SHIN-KORI-4,PWR,APR-1400,3983,1455,1418,KHNP,DHICKOPC,08-2020,04-2020,08-2020,100,100,-
kr,"KOREA, REP. OF",KR-23,SHIN-WOLSONG-1,PWR,OPR-1000,2825,1049,997,KHNP,DHICKOPC,11-2020,01-2020,07-2020,80.1,80.4,-
kr,"KOREA, REP. OF",KR-24,SHIN-WOLSONG-2,PWR,OPR-1000,2825,1051,993,KHNP,DHICKOPC,09-2020,02-2020,07-2020,78.7,78.8,-
kr,"KOREA, REP. OF",KR-4,WOLSONG-2,PHWR,CANDU 6,2061,620,606,KHNP,AECL/DHI,09-1992,04-1997,07-1997,88.4,90.9,-
kr,"KOREA, REP. OF",KR-15,WOLSONG-3,PHWR,CANDU 6,2061,650,630,KHNP,AECL/DHI,03-1994,03-1998,07-1998,79.1,81.5,-
kr,"KOREA, REP. OF",KR-16,WOLSONG-4,PHWR,CANDU 6,2061,621,609,KHNP,AECL/DHI,07-1994,05-1999,10-1999,88.7,90.3,-
mx,MEXICO,MX-1,LAGUNA VERDE-1,BWR,BWR-5,2317,805,777,CFE,GE,10-1976,04-1989,07-1990,76.8,78.7,-
mx,MEXICO,MX-2,LAGUNA VERDE-2,BWR,BWR-5,2317,803,775,CFE,GE,06-1977,11-1994,04-1995,81.6,83,-
nl,NETHERLANDS,NL-2,BORSSELE,PWR,KWU 2LP,1366,515,482,EPZ,S/KWU,07-1969,07-1973,10-1973,84.2,85.2,-
pk,PAKISTAN,PK-2,CHASNUPP-1,PWR,CNP-300,999,325,300,PAEC,CNNC,08-1993,06-2000,09-2000,83,83.2,-
pk,PAKISTAN,PK-3,CHASNUPP-2,PWR,CNP-300,999,325,300,PAEC,CNNC,12-2020,03-2020,05-2020,85.4,85.5,-
pk,PAKISTAN,PK-4,CHASNUPP-3,PWR,CNP-300,999,340,315,PAEC,CNNC,05-2020,10-2020,12-2020,86.8,87.6,-
pk,PAKISTAN,PK-5,CHASNUPP-4,PWR,CNP-300,999,340,313,PAEC,CNNC,12-2020,07-2020,09-2020,89.4,90.2,-
pk,PAKISTAN,PK-1,KANUPP-1,PHWR,CANDU-137 MW,337,100,90,PAEC,CGE,08-1966,10-1971,12-1972,41.1,41.1,DS
ro,ROMANIA,RO-1,CERNAVODA-1,PHWR,CANDU 6,2180,706,650,SNN,AECL,07-1982,07-1996,12-1996,91.9,93,DH
ro,ROMANIA,RO-2,CERNAVODA-2,PHWR,CANDU 6,2180,705,650,SNN,AECL,07-1983,08-2020,11-2020,93.8,94.6,DH
ru,RUSSIA,RU-151,AKADEMIK LOMONOSOV-1,PWR,KLT-40S Float,150,35,32,REA,AEM,04-2020,12-2020,05-2020,-,-,-
