CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MODEL,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,EAF_PCT,UCF_PCT,NON_ELEC
us,USA,US-416,GRAND GULF-1,BWR,BWR-6 (Mark 3),4408,1500,1401,ENTERGY,GE,05-1974,10-1984,07-1985,80,80.2,-
us,USA,US-400,HARRIS-1,PWR,WH 3LP (DRYAMB,2900,980,964,PROGRESS,WH,01-1978,01-1987,05-1987,91.4,91.4,-
us,USA,US-321,HATCH-1,BWR,BWR-4 (Mark 1),2804,911,876,SOUTHERN,GE,09-1968,11-1974,12-1975,93.8,93.8,-
us,USA,US-366,HATCH-2,BWR,BWR-4 (Mark 1),2804,921,883,SOUTHERN,GE,02-1972,09-1978,09-1979,93.3,93.3,-
us,USA,US-354,HOPE CREEK-1,BWR,BWR-4 (Mark 1),3840,1240,1172,PSEG,GE,03-1976,08-1986,12-1986,93.3,93.3,-
us,USA,US-286,INDIAN POINT-3,PWR,WH 4LP (DRYAMB,3216,1085,1030,ENTERGY,WH,11-1968,04-1976,08-1976,92.6,92.7,-
us,USA,US-373,LASALLE-1,BWR,BWR-5 (Mark 2),3546,1207,1137,EXELON,GE,09-1973,09-1982,01-1984,95.7,95.7,-
us,USA,US-374,LASALLE-2,BWR,BWR-5 (Mark 2),3546,1207,1140,EXELON,GE,09-1973,04-1984,10-1984,95.5,95.5,-
us,USA,US-352,LIMERICK-1,BWR,BWR-4 (Mark 2),3515,1194,1134,EXELON,GE,06-1974,04-1985,02-1986,95.2,95.2,-
us,USA,US-353,LIMERICK-2,BWR,BWR-4 (Mark 2),3515,1194,1134,EXELON,GE,06-1974,09-1989,01-1990,94.7,94.7,-
us,USA,US-369,MCGUIRE-1,PWR,WH 4LP (ICECND,3411,1215,1158,DUKEENER,WH,04-1971,09-1981,12-1981,92.6,92.6,-
us,USA,US-370,MCGUIRE-2,PWR,WH 4LP (ICECND,3411,1215,1158,DUKEENER,WH,04-1971,05-1983,03-1984,93.2,93.2,-
