CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,SHUTDOWN
jp,JAPAN,JP-6,MIHAMA-2,PWR,1456,500,470,KEPCO,MHI,05-1968,04-1972,07-1972,04-2020
jp,JAPAN,JP-31,MONJU,FBR,714,280,246,JAEA,T/H/F/M,05-1986,08-1995,NA,12-2020
jp,JAPAN,JP-15,OHI-1,PWR,3423,1175,1120,KEPCO,WH,10-1972,12-1977,03-1979,03-2020
jp,JAPAN,JP-19,OHI-2,PWR,3423,1175,1120,KEPCO,WH,12-1972,10-1978,12-1979,03-2020
jp,JAPAN,JP-22,ONAGAWA-1,BWR,1593,524,498,TOHOKU,TOSHIBA,07-1980,11-1983,06-1984,12-2020
jp,JAPAN,JP-7,SHIMANE-1,BWR,1380,460,439,CHUGOKU,HITACHI,07-1970,12-1973,03-1974,04-2020
jp,JAPAN,JP-2,TOKAI-1,GCR,587,166,137,JAPCO,GEC,03-1961,11-1965,07-1966,03-1998
jp,JAPAN,JP-3,TSURUGA-1,BWR,1070,357,340,JAPCO,GE,11-1966,11-1969,03-1970,04-2020
kz,KAZAKHSTAN,KZ-10,AKTAU,FBR,1000,90,52,MAEC-KAZ,MAEC-KAZ,10-1964,07-1973,07-1973,04-1999
kr,"KOREA, REP. OF",KR-1,KORI-1,PWR,1729,607,576,KHNP,WH,08-1972,06-1977,04-1978,06-2020
kr,"KOREA, REP. OF",KR-3,WOLSONG-1,PHWR,2061,683,661,KHNP,AECL,10-1977,12-1982,04-1983,12-2020
lt,LITHUANIA,LT-46,IGNALINA-1,LWGR,4800,1300,1185,INPP,MAEP,05-1977,12-1983,05-1985,12-2020
lt,LITHUANIA,LT-47,IGNALINA-2,LWGR,4800,1300,1185,INPP,MAEP,01-1978,08-1987,12-1987,12-2020
nl,NETHERLANDS,NL-1,DODEWAARD,BWR,183,60,55,BV GKN,RDM,05-1965,10-1968,03-1969,03-1997
ru,RUSSIA,RU-1,APS-1 OBNINSK,LWGR,30,6,5,MSM,MSM,01-1951,06-1954,12-1954,04-2020
ru,RUSSIA,RU-3,BELOYARSK-1,LWGR,286,108,102,REA,MSM,06-1958,04-1964,04-1964,01-1983
ru,RUSSIA,RU-6,BELOYARSK-2,LWGR,530,160,146,REA,MSM,01-1962,12-1967,12-1969,01-1990
ru,RUSSIA,RU-141,BILIBINO-1,LWGR,62,12,11,REA,AEM,01-1970,01-1974,04-1974,01-2020
ru,RUSSIA,RU-15,LENINGRAD-1,LWGR,3200,1000,925,REA,AEM,03-1970,12-1973,11-1974,12-2020
ru,RUSSIA,RU-4,NOVOVORONEZH-1,PWR,760,210,197,REA,MSM,07-1957,09-1964,12-1964,02-1988
ru,RUSSIA,RU-8,NOVOVORONEZH-2,PWR,1320,365,336,REA,MSM,06-1964,12-1969,04-1970,08-1990
ru,RUSSIA,RU-9,NOVOVORONEZH-3,PWR,1375,417,385,REA,AEM,07-1967,12-1971,06-1972,12-2020
sk,SLOVAKIA,SK-1,BOHUNICE A1,HWGCR,560,143,93,JAVYS,SKODA,08-1958,12-1972,12-1972,02-1977
